thumbnail,title,subtitles,rating,link,price_period,price_currency,price_value,marketplace
https://a0.muscache.com/im/pictures/af03e31c-f9dc-4d8e-a834-93956414a305.jpg?im_w=720,Private room in Prenzlauer Berg,Beautiful 25qm room in old building with balkony,5.0,https://www.airbnb.com/rooms/27741319,night,$,90,airbnb
https://a0.muscache.com/im/pictures/7263166/5b6887e3_original.jpg?im_w=720,Private room in Kreuzberg,In the middle of the action in Berlin,4.61,https://www.airbnb.com/rooms/584012,night,$,30,airbnb
https://a0.muscache.com/im/pictures/4e85dab3-0f4e-4d25-859a-b44e270c9917.jpg?im_w=720,Apartment in Lichtenberg,"Apartment 45sqm, for3 People, U5 Magdalenenstrasse",4.69,https://www.airbnb.com/rooms/20517971,night,$,121,airbnb
https://a0.muscache.com/im/pictures/57f92c6c-0203-4ed0-a7e8-68af0c86590a.jpg?im_w=720,Private room in Charlottenburg,.Comfortable Private Room Nr. 5,4.57,https://www.airbnb.com/rooms/38686018,night,$,61,airbnb
https://a0.muscache.com/im/pictures/76011986/807b5392_original.jpg?im_w=720,Apartment in Kreuzberg,Apartment close to Bergmann hood,4.84,https://www.airbnb.com/rooms/5784956,night,$,51,airbnb
https://a0.muscache.com/im/pictures/45165f0f-8a63-4bfb-b06b-b28364b3c249.jpg?im_w=720,Apartment in Tempelhof,In the middle of the neighbourhood,4.67,https://www.airbnb.com/rooms/39602283,night,$,100,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-51841334/original/e73c4f85-4448-4ca8-82a8-6270674bd344.jpeg?im_w=720,Private room in Mitte,"Cozy single Room near Lake, U-bahn, Central St.",4.97,https://www.airbnb.com/rooms/51841334,night,$,45,airbnb
https://a0.muscache.com/im/pictures/49c7fa3b-18a4-4aa9-bca9-8858cd306ffd.jpg?im_w=720,Apartment in Mitte,Charming Wedding old building apartment at Schillerpark,4.95,https://www.airbnb.com/rooms/18836091,night,$,97,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-630468862062580379/original/fc0c0e60-4f27-4ee3-8332-d3d97f2e3f53.png?im_w=720,Condo in Prenzlauer Berg,Mauerpark - quite Apartment on vibrant location,4.84,https://www.airbnb.com/rooms/630468862062580379,night,$,90,airbnb
https://a0.muscache.com/im/pictures/708aa3c4-836c-4bed-ad30-729c8e357fb5.jpg?im_w=720,Private room in Tempelhof,Cozy room at the old Berlin airfield.,4.93,https://www.airbnb.com/rooms/50203702,night,$,49,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-40248440/original/1ea214e5-74d6-4291-956d-f7a8fd49536f.jpeg?im_w=720,Private room in Kreuzberg,Sunflooded room in the heart of Kreuzberg <3,4.71,https://www.airbnb.com/rooms/40248440,night,$,105,airbnb
https://a0.muscache.com/im/pictures/1592aa9a-18fd-471b-b4e0-330677b04b6e.jpg?im_w=720,Apartment in Prenzlauer Berg,2-storey maisonette : balcony rooftop terrace,4.89,https://www.airbnb.com/rooms/11661596,night,$,138,airbnb
https://a0.muscache.com/im/pictures/2b73fbe9-57e9-4581-aef9-7e5a3a3e4b44.jpg?im_w=720,Apartment in Mitte,Cosy altbau studio flat in central Berlin,4.66,https://www.airbnb.com/rooms/20943832,night,$,152,airbnb
https://a0.muscache.com/im/pictures/2a459692-7314-4c87-bec0-82acf69fa99b.jpg?im_w=720,Private room in Prenzlauer Berg,Double Room in Prenzlauer Berg,4.82,https://www.airbnb.com/rooms/14424131,night,$,97,airbnb
https://a0.muscache.com/im/pictures/1efc96df-8b22-4202-af52-dd73988ead6f.jpg?im_w=720,Shared room in Mitte,one room appartment shared with Host,4.5,https://www.airbnb.com/rooms/844608023472994750,night,$,30,airbnb
https://a0.muscache.com/im/pictures/40c6e2c8-4158-4d14-9513-fc38388d13ca.jpg?im_w=720,Private room in Kreuzberg,Bohemian in Berlin,,https://www.airbnb.com/rooms/795738568541225211,night,$,84,airbnb
https://a0.muscache.com/im/pictures/aaaa1775-5644-4985-bbaa-671d79143fdd.jpg?im_w=720,Apartment in Neukölln,2-room cozy apartment in the heart of Neukolln,4.92,https://www.airbnb.com/rooms/33634726,night,$,126,airbnb
https://a0.muscache.com/im/pictures/4922ca7b-8da8-406a-be41-3d867aca80f4.jpg?im_w=720,Apartment in Kreuzberg,Central 2 room apartment in Berlin Kreuzberg,5.0,https://www.airbnb.com/rooms/786310180116401185,night,$,99,airbnb
https://a0.muscache.com/im/pictures/be5c0ca2-d943-4463-93c5-888e2bbe3e16.jpg?im_w=720,Private room in Neukölln,"Nice room, top amenities, air conditioner, legal",4.9,https://www.airbnb.com/rooms/20568733,night,$,38,airbnb
https://a0.muscache.com/im/pictures/miso/Hosting-806443352368381195/original/5311d4b1-edf7-4901-9901-e1aea3cc5951.jpeg?im_w=720,Private room in Prenzlauer Berg,private single room | Hotel Prenzlauer Berg,4.75,https://www.airbnb.com/rooms/806443352368381195,night,$,79,airbnb
https://a0.muscache.com/im/pictures/7e7eca04-e121-489c-af65-caf39a8f2c50.jpg?im_w=720,Private room in Mitte,Lovely room in the heart of Mitte,4.92,https://www.airbnb.com/rooms/747585137941299002,night,$,100,airbnb
https://a0.muscache.com/im/pictures/c154578c-28f4-44e9-b951-77c714209ca5.jpg?im_w=720,Private room in Pankow,Quiet and centrally located room in Florakiez,4.91,https://www.airbnb.com/rooms/46704484,night,$,49,airbnb
