title,isAd,location,paymentOptions,highlightedAmenities,link,snippet_text,snippet_title,price_withTaxesAndCharges,price_currency,price_value,rating_score,rating_reviews,marketplace
Hampton by Hilton Berlin City West,False,Berlin,Fully refundable,Breakfast included,https://www.hotels.com/ho360079/hampton-by-hilton-berlin-city-west-berlin-germany/,,,183,$,163,8.8,1007.0,hotelscom
ibis Styles Berlin Treptow,False,Berlin,,,https://www.hotels.com/ho160891/ibis-styles-berlin-treptow-berlin-germany/,,,147,$,129,8.0,389.0,hotelscom
Astrid Hotel am Kurfürstendamm,False,Berlin,,,https://www.hotels.com/ho233821/astrid-hotel-am-kurfurstendamm-berlin-germany/,,,165,$,147,7.4,790.0,hotelscom
Hotel Sachsenhof Berlin,False,Berlin,Fully refundable,,https://www.hotels.com/ho298548/hotel-sachsenhof-berlin-berlin-germany/,,,125,$,112,8.6,235.0,hotelscom
Limehome Berlin Prenzlauer Allee,False,Prenzlauer Berg,,,https://www.hotels.com/ho439326/limehome-berlin-prenzlauer-allee-berlin-germany/,,,181,$,161,9.0,189.0,hotelscom
Living Hotel Weißensee,False,Berlin,,,https://www.hotels.com/ho182835/living-hotel-wei-ensee-berlin-germany/,,,172,$,154,8.8,995.0,hotelscom
Hotel Garni An der Weide,False,Berlin,Fully refundable,,https://www.hotels.com/ho589073/hotel-garni-an-der-weide-berlin-germany/,,,91,$,81,7.8,26.0,hotelscom
Hotel Am Stuttgarter Eck,False,Berlin,,Breakfast included,https://www.hotels.com/ho279046/hotel-am-stuttgarter-eck-berlin-germany/,,,84,$,75,6.2,583.0,hotelscom
Old Town Hotel Berlin,False,Prenzlauer Berg,Fully refundable,,https://www.hotels.com/ho431309/old-town-hotel-berlin-berlin-germany/,,,124,$,110,8.4,435.0,hotelscom
Müggelseeperle,False,Köpenick,,Breakfast included,https://www.hotels.com/ho2935932928/muggelseeperle-eichwalde-germany/,,,125,$,112,,,hotelscom
Hotel Anna 1908 Berlin,False,Berlin,Fully refundable,,https://www.hotels.com/ho284925/hotel-anna-1908-berlin-berlin-germany/,,,106,$,94,8.8,271.0,hotelscom
relexa hotel Stuttgarter Hof Berlin,False,Kreuzberg,Fully refundable,,https://www.hotels.com/ho200677/relexa-hotel-stuttgarter-hof-berlin-berlin-germany/,,,122,$,109,8.4,438.0,hotelscom
SensCity Hotel Berlin Spandau,False,Berlin,,,https://www.hotels.com/ho114238/senscity-hotel-berlin-spandau-berlin-germany/,,,125,$,112,7.4,354.0,hotelscom
Hotel Q,False,Berlin,,,https://www.hotels.com/ho219401/hotel-q-berlin-germany/,,,145,$,130,8.8,531.0,hotelscom
Hotel am Borsigturm,False,Berlin,,,https://www.hotels.com/ho648208992/hotel-am-borsigturm-berlin-germany/,,,110,$,98,9.0,360.0,hotelscom
Enjoy Hotel Berlin City Messe,False,Wilmersdorf,,,https://www.hotels.com/ho119087/enjoy-hotel-berlin-city-messe-berlin-germany/,,,120,$,107,7.6,997.0,hotelscom
Artim Hotel,False,Berlin,Fully refundable,,https://www.hotels.com/ho216345/artim-hotel-berlin-germany/,,,160,$,143,7.8,355.0,hotelscom
Boutique Hotel Kerlin,False,Wilmersdorf,,,https://www.hotels.com/ho284838/boutique-hotel-kerlin-ehemals-alexander-berlin-germany/,,,125,$,112,9.2,32.0,hotelscom
Melarose Feng Shui Hotel,False,Prenzlauer Berg,,,https://www.hotels.com/ho325139/melarose-feng-shui-hotel-berlin-germany/,,,202,$,180,8.2,161.0,hotelscom
Myer's Hotel Berlin,False,Prenzlauer Berg,,Breakfast included,https://www.hotels.com/ho312573/myer-s-hotel-berlin-berlin-germany/,,,292,$,261,9.0,454.0,hotelscom
Rocco Forte Hotel De Rome Berlin,False,Mitte,Fully refundable,,https://www.hotels.com/ho247869/rocco-forte-hotel-de-rome-berlin-berlin-germany/,,,552,$,493,9.2,329.0,hotelscom
Hotel Atlas Berlin,False,Wilmersdorf,Fully refundable,,https://www.hotels.com/ho406843/hotel-atlas-berlin-berlin-germany/,,,172,$,154,7.6,168.0,hotelscom
Garden Boutique Hotel Berlin - Mitte,False,Mitte,,,https://www.hotels.com/ho456828/garden-boutique-hotel-berlin-mitte-berlin-germany/,,,236,$,211,9.2,83.0,hotelscom
Hotel Klassik Berlin,False,Friedrichshain,,,https://www.hotels.com/ho275960/hotel-klassik-berlin-berlin-germany/,,,135,$,121,7.0,276.0,hotelscom
Hotel Benn,False,Berlin,Fully refundable,,https://www.hotels.com/ho278805/hotel-benn-berlin-germany/,,,179,$,160,8.6,187.0,hotelscom
Hotel Pankow,False,Berlin,,,https://www.hotels.com/ho254854/hotel-pankow-berlin-germany/,,,82,$,73,7.2,402.0,hotelscom
Hotel Vita Berlin,False,Berlin,,Breakfast included,https://www.hotels.com/ho685508576/hotel-vita-berlin-berlin-germany/,,,151,$,135,9.2,89.0,hotelscom
BIG MAMA Berlin,False,Berlin,,,https://www.hotels.com/ho455397/hotel-big-mama-berlin-germany/,,,90,$,80,8.4,440.0,hotelscom
Hotel Atlantic Berlin,False,Berlin,Fully refundable,,https://www.hotels.com/ho478524/hotel-atlantic-berlin-berlin-germany/,,,68,$,61,7.6,161.0,hotelscom
Happy Hotel Berlin,False,Schöneberg,,,https://www.hotels.com/ho1715737152/happy-hotel-berlin-berlin-germany/,,,279,$,249,7.0,33.0,hotelscom
City Inn,False,Schöneberg,,,https://www.hotels.com/ho377340/city-inn-berlin-germany/,,,92,$,82,5.4,80.0,hotelscom
Hotel Nikolai Residence,False,Berlin,,,https://www.hotels.com/ho442447/hotel-nikolai-residence-berlin-germany/,,,181,$,162,9.0,273.0,hotelscom
Hotel Grenzfall Berlin,False,Berlin,,,https://www.hotels.com/ho338372/hotel-grenzfall-berlin-berlin-germany/,,,135,$,120,8.8,208.0,hotelscom
Hotel Brandies Berlin,False,Berlin,Fully refundable,,https://www.hotels.com/ho236470/hotel-brandies-berlin-berlin-germany/,,,156,$,139,8.6,268.0,hotelscom
Hotel Chateau Kurfürstendamm,False,Berlin,,,https://www.hotels.com/ho371168/hotel-chateau-kurfurstendamm-berlin-germany/,,,125,$,111,7.8,578.0,hotelscom
Hotel Augusta,False,Berlin,,,https://www.hotels.com/ho189978/hotel-augusta-berlin-germany/,,,130,$,116,8.2,251.0,hotelscom
Hotel AVAlex,False,Prenzlauer Berg,Fully refundable,,https://www.hotels.com/ho334602/hotel-pension-intervarko-berlin-germany/,,,138,$,123,6.0,129.0,hotelscom
sly Berlin,False,Friedrichshain,Fully refundable,,https://www.hotels.com/ho2828018944/sly-berlin-dixcove-ghana/,,,11497,$,10266,,,hotelscom
