link,marketplace,price_currency,price_value,title
https://www.airbnb.com/rooms/47211361,airbnb,$,84,Apartment in Berlin
https://www.airbnb.com/rooms/4280343,airbnb,$,47,Private room in Berlin
https://www.airbnb.com/rooms/12013507,airbnb,$,44,Private room in Berlin
https://www.airbnb.com/rooms/827562442187086929,airbnb,$,116,Apartment in Berlin
https://www.airbnb.com/rooms/678019095993836004,airbnb,$,126,Private room in Berlin
https://www.airbnb.com/rooms/19501540,airbnb,$,151,Apartment in Berlin
https://www.airbnb.com/rooms/37871552,airbnb,$,38,Private room in Neuenhagen
https://www.airbnb.com/rooms/731816714179145445,airbnb,$,118,Apartment in Berlin
https://www.airbnb.com/rooms/45347161,airbnb,$,59,Private room in Berlin
https://www.airbnb.com/rooms/760108563556107857,airbnb,$,63,Private room in Berlin
https://www.airbnb.com/rooms/52401704,airbnb,$,95,Apartment in Berlin
https://www.airbnb.com/rooms/14736577,airbnb,$,120,Private room in Berlin
https://www.airbnb.com/rooms/33996221,airbnb,$,57,Private room in Berlin
https://www.airbnb.com/rooms/849732709353643211,airbnb,$,38,Private room in Berlin
https://www.airbnb.com/rooms/27284889,airbnb,$,46,Private room in Hoppegarten
https://www.airbnb.com/rooms/53638269,airbnb,$,99,Condo in Berlin
https://www.airbnb.com/rooms/763497821477327402,airbnb,$,76,Private room in Berlin
https://www.airbnb.com/rooms/837594868090351062,airbnb,$,81,Private room in Berlin
https://www.airbnb.com/rooms/859907877529642657,airbnb,$,64,Apartment in Berlin
https://www.airbnb.com/rooms/475193,airbnb,$,109,Private room in Berlin
https://www.airbnb.com/rooms/51517025,airbnb,$,139,Apartment in Berlin
https://www.airbnb.com/rooms/49125476,airbnb,$,139,Apartment in Berlin
https://www.airbnb.com/rooms/14839691,airbnb,$,44,Private room in Berlin
https://www.airbnb.com/rooms/3717751,airbnb,$,88,Private room in Berlin
https://www.airbnb.com/rooms/46462154,airbnb,$,126,Apartment in Berlin
https://www.airbnb.com/rooms/607836165565073961,airbnb,$,77,Private room in Berlin
https://www.airbnb.com/rooms/14648612,airbnb,$,121,Apartment in Berlin
https://www.airbnb.com/rooms/786910043541761575,airbnb,$,59,Private room in Berlin
https://www.airbnb.com/rooms/23105508,airbnb,$,41,Private room in Berlin
https://www.airbnb.com/rooms/782551202735424582,airbnb,$,88,Private room in Berlin
https://www.airbnb.com/rooms/599179283845190938,airbnb,$,139,Private room in Berlin
https://www.airbnb.com/rooms/759982185791248235,airbnb,$,82,Private room in Friedrichshain
https://www.airbnb.com/rooms/28194113,airbnb,$,101,Private room in Mitte
https://www.airbnb.com/rooms/583685084785657909,airbnb,$,151,Apartment in Schöneberg
https://www.airbnb.com/rooms/17237876,airbnb,$,87,Private room in Charlottenburg
https://www.airbnb.com/rooms/41363989,airbnb,$,152,Apartment in Mitte
https://www.airbnb.com/rooms/38796505,airbnb,$,88,Apartment in Charlottenburg
https://www.airbnb.com/rooms/716448591365879416,airbnb,$,66,Private room in Lichtenberg
https://www.airbnb.com/rooms/874614351749733878,airbnb,$,89,Private room in Mitte
https://www.airbnb.com/rooms/53425927,airbnb,$,117,Cottage in Wannsee
https://www.airbnb.com/rooms/45809645,airbnb,$,124,Apartment in Kreuzberg
https://www.airbnb.com/rooms/26975349,airbnb,$,56,Private room in Lichtenberg
https://www.airbnb.com/rooms/42040985,airbnb,$,99,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/872280106289746134,airbnb,$,50,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/31978228,airbnb,$,63,Private room in Friedenau
https://www.airbnb.com/rooms/36479360,airbnb,$,70,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/849020728199245815,airbnb,$,56,Apartment in Prenzlauer Berg
https://www.airbnb.com/rooms/546294738066247812,airbnb,$,75,Condo in Schöneberg
https://www.airbnb.com/rooms/39223612,airbnb,$,57,Condo in Treptow-Köpenick
https://www.airbnb.com/rooms/28068656,airbnb,$,90,Private room in Mitte
https://www.airbnb.com/rooms/846358163879845009,airbnb,$,57,Private room in Mitte
https://www.airbnb.com/rooms/798309619297165174,airbnb,$,73,Apartment in Spandau
https://www.airbnb.com/rooms/783133338259863680,airbnb,$,61,Private room in Neukölln
https://www.airbnb.com/rooms/872432856424783408,airbnb,$,100,Apartment in Prenzlauer Berg
https://www.airbnb.com/rooms/833209039583582571,airbnb,$,80,Private room in Neukölln
https://www.airbnb.com/rooms/18066481,airbnb,$,87,Private room in Charlottenburg
https://www.airbnb.com/rooms/192499,airbnb,$,75,Private room in Kreuzberg
https://www.airbnb.com/rooms/49897931,airbnb,$,57,Private room in Charlottenburg
https://www.airbnb.com/rooms/7824562,airbnb,$,83,Private room in Charlottenburg
https://www.airbnb.com/rooms/25252686,airbnb,$,81,Private room in Mitte
https://www.airbnb.com/rooms/578236928583726571,airbnb,$,83,Private room in Mitte
https://www.airbnb.com/rooms/11603400,airbnb,$,77,Private room in Tempelhof
https://www.airbnb.com/rooms/36268916,airbnb,$,101,Apartment in Mitte
https://www.airbnb.com/rooms/710977502962241092,airbnb,$,125,Apartment in Prenzlauer Berg
https://www.airbnb.com/rooms/42226324,airbnb,$,120,Apartment in Mitte
https://www.airbnb.com/rooms/43504374,airbnb,$,35,Private room in Charlottenburg-Wilmersdorf
https://www.airbnb.com/rooms/27120381,airbnb,$,89,Apartment in Mitte
https://www.airbnb.com/rooms/53792154,airbnb,$,98,Apartment in Berlin
https://www.airbnb.com/rooms/847824300723516174,airbnb,$,94,Apartment in Berlin
https://www.airbnb.com/rooms/43466060,airbnb,$,128,Apartment in Berlin
https://www.airbnb.com/rooms/45375004,airbnb,$,87,Hotel room in Berlin
https://www.airbnb.com/rooms/813002978912166225,airbnb,$,87,Apartment in Berlin
https://www.airbnb.com/rooms/22662699,airbnb,$,93,Apartment in Berlin
https://www.airbnb.com/rooms/22768220,airbnb,$,69,Guest suite in Berlin
https://www.airbnb.com/rooms/686781460938529525,airbnb,$,88,Condo in Berlin
https://www.airbnb.com/rooms/853029943171856605,airbnb,$,54,Private room in Berlin
https://www.airbnb.com/rooms/9165505,airbnb,$,47,Private room in Berlin
https://www.airbnb.com/rooms/42935037,airbnb,$,188,Apartment in Berlin
https://www.airbnb.com/rooms/782899540870701066,airbnb,$,46,Private room in Berlin
https://www.airbnb.com/rooms/856224834722446201,airbnb,$,100,Apartment in Berlin
https://www.airbnb.com/rooms/23298585,airbnb,$,91,Private room in Berlin
https://www.airbnb.com/rooms/9572022,airbnb,$,79,Private room in Berlin
https://www.airbnb.com/rooms/13215295,airbnb,$,51,Private room in Berlin
https://www.airbnb.com/rooms/18871619,airbnb,$,50,Private room in Potsdam
https://www.airbnb.com/rooms/42507686,airbnb,$,123,Private room in Berlin
https://www.airbnb.com/rooms/700674583990746192,airbnb,$,55,Private room in Neukölln
https://www.airbnb.com/rooms/27122904,airbnb,$,57,Private room in Kreuzberg
https://www.airbnb.com/rooms/780141184520327706,airbnb,$,51,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/645544533608843534,airbnb,$,63,Private room in Charlottenburg-Wilmersdorf
https://www.airbnb.com/rooms/16684717,airbnb,$,95,Private room in Mitte
https://www.airbnb.com/rooms/18698064,airbnb,$,126,Apartment in Tempelhof
https://www.airbnb.com/rooms/16632030,airbnb,$,43,Private room in Köpenick
https://www.airbnb.com/rooms/688854502281079763,airbnb,$,57,Private room in Prenzlauer Berg
https://www.airbnb.com/rooms/21718505,airbnb,$,76,Private room in Mitte
https://www.airbnb.com/rooms/323243,airbnb,$,41,Private room in Neukölln
https://www.airbnb.com/rooms/11833825,airbnb,$,133,Loft in Prenzlauer Berg
https://www.airbnb.com/rooms/22736888,airbnb,$,59,Private room in Neukölln
https://www.airbnb.com/rooms/707888950817493105,airbnb,$,89,Private room in Mitte
https://www.airbnb.com/rooms/17418993,airbnb,$,53,Private room in Reinickendorf
https://www.airbnb.com/rooms/24145048,airbnb,$,64,Private room in Mitte
https://www.airbnb.com/rooms/26197580,airbnb,$,45,Private room in Neukölln
https://www.airbnb.com/rooms/12843786,airbnb,$,126,Apartment in Mitte
https://www.airbnb.com/rooms/39277531,airbnb,$,96,Apartment in Kreuzberg
https://www.booking.com/hotel/de/scandic-kurfurstendamm.html?lang=en-us,booking,$,111,Scandic Berlin Kurfürstendamm
https://www.booking.com/hotel/de/thang-long-restaurant.html?lang=en-us,booking,$,68,Hotel Karlshorst
https://www.booking.com/hotel/de/jugendherberge-berlin-ostkreuz.html?lang=en-us,booking,$,104,Jugendherberge Berlin Ostkreuz
https://www.booking.com/hotel/de/hollywood-media.html?lang=en-us,booking,$,100,Hollywood Media Hotel am Kurfürstendamm
https://www.booking.com/hotel/de/melia-berlin.html?lang=en-us,booking,$,135,Meliá Berlin
https://www.booking.com/hotel/de/amano-grand-central.html?lang=en-us,booking,$,86,Hotel AMANO Grand Central
https://www.booking.com/hotel/de/bbberlin.html?lang=en-us,booking,$,145,"Hotel Berlin, Berlin, a member of Radisson Individuals"
https://www.booking.com/hotel/de/amano-east-side.html?lang=en-us,booking,$,68,AMANO East Side
https://www.booking.com/hotel/de/romy-by-amano.html?lang=en-us,booking,$,83,Hotel ROMY by AMANO
https://www.booking.com/hotel/de/motel-one-berlin-alexanderplatz-berlin.html?lang=en-us,booking,$,120,Motel One Berlin-Alexanderplatz
https://www.booking.com/hotel/de/kaiser.html?lang=en-us,booking,$,66,Hotel Kaiser
https://www.booking.com/hotel/de/ibis-styles-berlin-treptow.html?lang=en-us,booking,$,102,ibis Styles Berlin Treptow
https://www.booking.com/hotel/de/aldea-novum.html?lang=en-us,booking,$,67,Novum Hotel Aldea Berlin Centrum
https://www.booking.com/hotel/de/yggotel-ravn.html?lang=en-us,booking,$,63,Yggotel Ravn
https://www.booking.com/hotel/de/maritimberlin.html?lang=en-us,booking,$,131,Maritim proArte Hotel Berlin
https://www.booking.com/hotel/de/best-western-city-ost.html?lang=en-us,booking,$,82,B&B Hotel Berlin City-Ost
https://www.booking.com/hotel/de/motel-one-berlin-ku-damm.html?lang=en-us,booking,$,120,Motel One Berlin Ku'Damm
https://www.booking.com/hotel/de/crownplazaberlincitycentre.html?lang=en-us,booking,$,126,"Crowne Plaza Berlin City Centre Ku'damm, an IHG Hotel"
https://www.booking.com/hotel/de/nordic-berlin-mitte.html?lang=en-us,booking,$,87,Hotel Berlin Mitte by Campanile
https://www.booking.com/hotel/de/two-berlin-by-axel.html?lang=en-us,booking,$,87,TWO Hotel Berlin by Axel - Adults Only
https://www.booking.com/hotel/de/orbis-aparthotel-berlin-kreuzberg.html?lang=en-us,booking,$,87,Nena Apartments - Kreuzberg 61
https://www.booking.com/hotel/de/motel-one-berlin-city-center-west.html?lang=en-us,booking,$,109,Motel One Berlin-Tiergarten
https://www.booking.com/hotel/de/leonardo-berlin-mitte.html?lang=en-us,booking,$,105,Leonardo Hotel Berlin Mitte
https://www.booking.com/hotel/de/motel-one-berlin-upper-west.html?lang=en-us,booking,$,131,Motel One Berlin-Upper West
https://www.booking.com/hotel/de/the-niu-dwarf.html?lang=en-us,booking,$,86,the niu Dwarf
https://www.booking.com/hotel/de/winter-s-berlin-im-spiegelturm.html?lang=en-us,booking,$,90,Select Hotel Berlin Spiegelturm
https://www.booking.com/hotel/de/enjoy-hostel-berlin-city-west.html?lang=en-us,booking,$,53,enjoy hostel Berlin City West
https://www.booking.com/hotel/de/ibis-budget-berlin-potsdamer-platz.html?lang=en-us,booking,$,77,Ibis budget Berlin Potsdamer Platz
https://www.booking.com/hotel/de/riu-plaza-berlin.html?lang=en-us,booking,$,120,Riu Plaza Berlin
https://www.booking.com/hotel/de/steps.html?lang=en-us,booking,$,58,Steps-Hotel
https://www.booking.com/hotel/de/precise-tale-berlin.html?lang=en-us,booking,$,163,Precise Tale Berlin Potsdamer Platz
https://www.booking.com/hotel/de/scandic-berlin-potsdamer-platz.html?lang=en-us,booking,$,134,Scandic Berlin Potsdamer Platz
https://www.booking.com/hotel/de/hampton-by-hilton-berlin-city-east-side-gallery.html?lang=en-us,booking,$,131,Hampton By Hilton Berlin City East Side Gallery
https://www.booking.com/hotel/de/gatesamkudamm.html?lang=en-us,booking,$,72,Novum Hotel Gates Berlin Charlottenburg
https://www.booking.com/hotel/de/queens-park.html?lang=en-us,booking,$,55,Queens Park Hotel
https://www.booking.com/hotel/de/titanic-chaussee-berlin.html?lang=en-us,booking,$,148,TITANIC Chaussee Berlin
https://www.booking.com/hotel/de/leonardo-hotel-berlin.html?lang=en-us,booking,$,92,Leonardo Hotel Berlin
https://www.booking.com/hotel/de/expressbyholidayinnberlin.html?lang=en-us,booking,$,125,"Holiday Inn Express Berlin City Centre, an IHG Hotel"
https://www.booking.com/hotel/de/alexander-plaza.html?lang=en-us,booking,$,103,Classik Hotel Alexander Plaza
https://www.booking.com/hotel/de/andel-s-by-vienna-house.html?lang=en-us,booking,$,154,Vienna House by Wyndham Andel's Berlin
https://www.booking.com/hotel/de/holiday-inn-express-berlin-alexanderplatz.html?lang=en-us,booking,$,109,"Holiday Inn Express - Berlin - Alexanderplatz, an IHG Hotel"
https://www.booking.com/hotel/de/holiday-inn-berlin-city-east-side.html?lang=en-us,booking,$,109,"Holiday Inn Berlin City East Side, an IHG Hotel"
https://www.booking.com/hotel/de/bestwesternmichelshotelamschlosskopenick.html?lang=en-us,booking,$,87,Hotel am Schloß Köpenick by Golden Tulip
https://www.booking.com/hotel/de/catalonia-berlin-mitte.html?lang=en-us,booking,$,99,Catalonia Berlin Mitte
https://www.booking.com/hotel/de/mercureberlin.html?lang=en-us,booking,$,95,Mercure Hotel Berlin Mitte
https://www.booking.com/hotel/de/scandic-kurfurstendamm.html?lang=en-us,booking,$,111,Scandic Berlin Kurfürstendamm
https://www.booking.com/hotel/de/h10-berlin-ku-damm.html?lang=en-us,booking,$,117,H10 Berlin Ku'damm
https://www.booking.com/hotel/de/schoenhouse-studios.html?lang=en-us,booking,$,100,limehome Berlin Prenzlauer Allee - Digital Access
https://www.booking.com/hotel/de/schulz-berlin-wall-at-the-east-side-gallery.html?lang=en-us,booking,$,109,Schulz Hotel Berlin Wall at the East Side Gallery
https://www.booking.com/hotel/de/motel-one-berlin-bellevue.html?lang=en-us,booking,$,109,Motel One Berlin-Bellevue
