thumbnail,title,stars,preferredBadge,promotedBadge,location,subwayAccess,sustainability,distanceFromCenter,highlights,link,price_taxesAndCharges,price_currency,price_value,rating_score,rating_scoreDescription,rating_reviews,marketplace
https://cf.bstatic.com/xdata/images/hotel/square200/66604285.webp?k=d23f980951a3f4bd941ba4729a467ae5ce81b57af904c0b10e8e640e694a5403&o=&s=1,Hotel Mit-Mensch,,True,False,"Lichtenberg, Berlin",False,Travel Sustainable property,10.2,Standard Double Room,https://www.booking.com/hotel/de/mit-mensch.html?lang=en-us,4.0,$,86,8.0,Very Good,1219.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/244274045.webp?k=75975418d66ab0f96064d0045e69ed9d2f4b64bb268a10dd7146331edc11af12&o=&s=1,"Holiday Inn Berlin City-West, an IHG Hotel",4.0,True,False,"Spandau, Berlin",True,Travel Sustainable property,8.2,Standard Double Room - Accessible,https://www.booking.com/hotel/de/holidayinnberlinesplanade.html?lang=en-us,3.0,$,114,6.9,Review score,2042.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/257983182.webp?k=5d464112968afb46237371c2dd3e29d3b2a3bb9d4fe208082c2777cbbdf0a85c&o=&s=1,"Crowne Plaza Berlin - Potsdamer Platz, an IHG Hotel",4.0,True,False,"Friedrichshain-Kreuzberg, Berlin",True,Travel Sustainable property,1.7,Standard Room,https://www.booking.com/hotel/de/crowne-plaza-berlin-potsdamer.html?lang=en-us,7.0,$,148,8.4,Very Good,2810.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/14096994.webp?k=1eb9d60d8c73f9723fdfed3f47e5401587bd637f47402a22ff2c236d51eceff1&o=&s=1,Artim Hotel,4.0,True,False,"Tempelhof-Schöneberg, Berlin",True,Travel Sustainable property,2.9,Standard Double Room,https://www.booking.com/hotel/de/hotelartim.html?lang=en-us,5.0,$,106,7.6,Good,2835.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/412252269.webp?k=5b2501c4c7585b1a14c736e2786cd87a155813543e6eee311a0af3b2de1ee10a&o=&s=1,Ootel.com,,False,False,"Marzahn-Hellersdorf, Berlin",False,Travel Sustainable property,10.4,Family Room,https://www.booking.com/hotel/de/hostel7-com.html?lang=en-us,2.0,$,46,3.9,Review score,4391.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/154254951.webp?k=06b15083df5cfdf68a753d217fce2c909777619bc61f33e383a2b1b2b7f2a439&o=&s=1,Upper Room Hotel Kurfürstendamm,,False,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,3.2,Standard Triple Room,https://www.booking.com/hotel/de/upper-room.html?lang=en-us,,$,76,7.0,Good,6155.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/430820023.webp?k=622efb61cc979ad3937be05378243641a498dc0b6addc069c9038e7cf3f9a1be&o=&s=1,The Westin Grand Berlin,,True,False,"Mitte, Berlin",True,Travel Sustainable property,0.8,Deluxe Double Room with City View,https://www.booking.com/hotel/de/westingrand.html?lang=en-us,12.0,$,240,8.5,Very Good,3983.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/276426534.webp?k=6825eef5fde724fb473a0a664dfb213d2c4ad81bdc1030c5549e655a85547b93&o=&s=1,Dorint Kurfürstendamm Berlin,,True,False,"Charlottenburg-Wilmersdorf, Berlin",True,Travel Sustainable property,3.4,Standard Room with Kingsize Bed,https://www.booking.com/hotel/de/sofitelhotelberlin-berlin.html?lang=en-us,,$,166,8.3,Very Good,2115.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/12144089.webp?k=a0012844b2591c6d46cd07dae2247b326f03eebc77182cdb14c779f45bb5cb4f&o=&s=1,Hotel Arena Inn - Berlin Mitte,3.0,False,False,"Mitte, Berlin",True,Travel Sustainable property,3.2,Double Room,https://www.booking.com/hotel/de/arena-inn-13353.html?lang=en-us,4.0,$,89,6.1,Review score,1941.0,booking
https://cf.bstatic.com/xdata/images/hotel/square200/199844041.webp?k=b862b96f8a3939d667e48e8f9bbcf0dde02e4e784c790faa6704d3b6af830aeb&o=&s=1,Hotel Delta am Potsdamer Platz,3.0,True,False,"Mitte, Berlin",True,Travel Sustainable property,1.9,Double Room,https://www.booking.com/hotel/de/del-gmbh-delta.html?lang=en-us,,$,114,7.2,Good,3816.0,booking
